,season,name,team_color,headshot_url,epa
18,2005,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,-16.317947932111565
26,2006,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,-15.284823548572604
34,2007,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,7.378538982127792
42,2008,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,81.16819560086202
51,2009,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,136.49494319723115
60,2010,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,162.13777222704456
69,2011,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,221.9021825741533
78,2012,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,127.00426613359855
88,2013,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,97.88401095966954
98,2014,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,172.6657404853268
108,2015,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,6.891364746822013
118,2016,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,167.6189171236849
127,2017,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,21.92875909493066
136,2018,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,54.20595651278613
144,2019,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,82.7862728781638
152,2020,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,210.26371053987833
159,2021,A.Rodgers,#203731,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png,86.40318786435901
