,season,name,team_color,headshot_url,epa
11,2004,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,47.64285849192317
19,2005,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,110.1354605076401
27,2006,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,10.505558464170623
35,2007,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,79.174978771031
43,2008,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,9.693347682437139
52,2009,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,87.92229389735623
61,2010,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,76.64066937881141
70,2011,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,81.46400973941985
79,2012,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,68.15389081073312
89,2013,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,61.2093971587791
99,2014,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,152.88381548375628
109,2015,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,104.08712950900163
119,2016,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,91.44613681179732
128,2017,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,101.22699040338759
137,2018,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,147.0099710710853
145,2019,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,-13.165258370914653
153,2020,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,62.41003488357534
160,2021,B.Roethlisberger,#000000,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png,-48.59195176570391
