,season,name,team_color,headshot_url,epa
2,2000,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,-1.342475933022797
5,2001,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,8.837604189109701
8,2002,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,13.251537538065918
10,2003,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,60.29412118739071
17,2004,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,140.0503605454614
25,2005,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,122.09355755166673
33,2006,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,83.49499324706682
41,2007,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,265.6530618028072
50,2008,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,0.037038876209408045
59,2009,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,106.40724064826803
68,2010,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,142.68132588819725
77,2011,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,235.51959310760773
87,2012,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,207.21105268511326
97,2013,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,86.13797494604395
107,2014,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,149.55968915881192
117,2015,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,124.86629669251477
126,2016,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,175.26618399906712
135,2017,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,180.06263353019756
143,2018,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,115.13790465544535
151,2019,T.Brady,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,28.486658807704995
158,2020,T.Brady,#A71930,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,172.3498437784248
163,2021,T.Brady,#A71930,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png,139.25181752096455
