,season,name,team_color,headshot_url,epa
0,1999,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,116.84967871105106
1,2000,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,142.30149033756376
4,2001,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,24.64088523493151
7,2002,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,63.940346314289656
9,2003,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,168.6231784601744
15,2004,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,248.78424224043698
23,2005,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,178.0000122993964
31,2006,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,186.803986038584
39,2007,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,168.53499831818723
48,2008,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,152.22843264415042
57,2009,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,203.71885603483796
66,2010,P.Manning,#002C5F,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,139.15303308309666
85,2012,P.Manning,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,166.90963295888696
95,2013,P.Manning,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,279.7818035205328
105,2014,P.Manning,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,106.93245038542288
115,2015,P.Manning,#002244,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png,-55.03306327172859
